_ws.col.No.,_ws.col.Time,ip.src,ip.dst,tcp.seq,tcp.ack,tcp.len,tcp.port
"134","0.050743000","69.148.243.171","38.107.216.37","1","305033","0","49048"
"135","0.050760000","38.107.216.37","69.148.243.171","323857","1","14480","44465"
"136","0.051249000","69.148.243.171","38.107.216.37","1","309377","0","49048"
"137","0.051254000","38.107.216.37","69.148.243.171","338337","1","14480","44465"
"138","0.052779000","69.148.243.171","38.107.216.37","1","318065","0","49048"
"139","0.052779000","69.148.243.171","38.107.216.37","1","323857","0","49048"
"140","0.052805000","38.107.216.37","69.148.243.171","352817","1","14480","44465"
"141","0.053511000","69.148.243.171","38.107.216.37","1","325305","0","49048"
"142","0.054022000","69.148.243.171","38.107.216.37","1","333993","0","49048"
"143","0.054022000","69.148.243.171","38.107.216.37","1","338337","0","49048"
"144","0.054043000","38.107.216.37","69.148.243.171","367297","1","2896","44465"
"145","0.054504000","69.148.243.171","38.107.216.37","1","339785","0","49048"
"146","0.054504000","69.148.243.171","38.107.216.37","1","347025","0","49048"
"147","0.054504000","69.148.243.171","38.107.216.37","1","352817","0","49048"
"148","0.054515000","38.107.216.37","69.148.243.171","370193","1","15928","44465"
"149","0.056001000","69.148.243.171","38.107.216.37","1","354265","0","49048"
"150","0.056001000","69.148.243.171","38.107.216.37","1","361505","0","49048"
"151","0.056001000","69.148.243.171","38.107.216.37","1","367297","0","49048"
"152","0.056030000","38.107.216.37","69.148.243.171","386121","1","15928","44465"
"153","0.057262000","69.148.243.171","38.107.216.37","1","368745","0","49048"
"154","0.057262000","69.148.243.171","38.107.216.37","1","370193","0","49048"
"155","0.057486000","69.148.243.171","38.107.216.37","1","371641","0","49048"
"156","0.057492000","38.107.216.37","69.148.243.171","402049","1","15928","44465"
"157","0.057500000","69.148.243.171","38.107.216.37","1","378881","0","49048"
"158","0.057501000","69.148.243.171","38.107.216.37","1","386121","0","49048"
"159","0.057505000","38.107.216.37","69.148.243.171","417977","1","14480","44465"
"160","0.059252000","69.148.243.171","38.107.216.37","1","387569","0","49048"
"161","0.059253000","69.148.243.171","38.107.216.37","1","394809","0","49048"
"162","0.059253000","69.148.243.171","38.107.216.37","1","402049","0","49048"
"163","0.059263000","38.107.216.37","69.148.243.171","432457","1","2896","44465"
"164","0.060515000","69.148.243.171","38.107.216.37","1","403497","0","49048"
"165","0.060515000","69.148.243.171","38.107.216.37","1","409289","0","49048"
"166","0.060538000","38.107.216.37","69.148.243.171","435353","1","15928","44465"
"167","0.060745000","69.148.243.171","38.107.216.37","1","417977","0","49048"
"168","0.060745000","69.148.243.171","38.107.216.37","1","419425","0","49048"
"169","0.060756000","38.107.216.37","69.148.243.171","451281","1","15928","44465"
"170","0.061236000","69.148.243.171","38.107.216.37","1","426665","0","49048"
"171","0.061236000","69.148.243.171","38.107.216.37","1","432457","0","49048"
"172","0.062511000","69.148.243.171","38.107.216.37","1","435353","0","49048"
"173","0.062531000","38.107.216.37","69.148.243.171","467209","1","17376","44465"
"174","0.063514000","69.148.243.171","38.107.216.37","1","442593","0","49048"
"175","0.063514000","69.148.243.171","38.107.216.37","1","451281","0","49048"
"176","0.063556000","38.107.216.37","69.148.243.171","484585","1","15928","44465"
"177","0.063992000","69.148.243.171","38.107.216.37","1","458521","0","49048"
"178","0.064533000","69.148.243.171","38.107.216.37","1","467209","0","49048"
"179","0.064554000","38.107.216.37","69.148.243.171","500513","1","17376","44465"
"180","0.065521000","69.148.243.171","38.107.216.37","1","474449","0","49048"
"181","0.065521000","69.148.243.171","38.107.216.37","1","484585","0","49048"
"182","0.065544000","38.107.216.37","69.148.243.171","517889","1","18824","44465"
"183","0.066751000","69.148.243.171","38.107.216.37","1","491825","0","49048"
"184","0.066751000","69.148.243.171","38.107.216.37","1","500513","0","49048"
"185","0.067506000","69.148.243.171","38.107.216.37","1","507753","0","49048"
"186","0.067511000","38.107.216.37","69.148.243.171","536713","1","18824","44465"
"187","0.067991000","69.148.243.171","38.107.216.37","1","517889","0","49048"
"188","0.067996000","38.107.216.37","69.148.243.171","555537","1","10136","44465"
"189","0.068776000","69.148.243.171","38.107.216.37","1","525129","0","49048"
"190","0.068776000","69.148.243.171","38.107.216.37","1","536713","0","49048"
"191","0.068802000","38.107.216.37","69.148.243.171","565673","1","18824","44465"
"192","0.068838000","38.107.216.37","69.148.243.171","584497","1","5792","44465"
"193","0.070765000","69.148.243.171","38.107.216.37","1","542505","0","49048"
"194","0.070765000","69.148.243.171","38.107.216.37","1","555537","0","49048"
"195","0.070785000","38.107.216.37","69.148.243.171","590289","1","7240","44465"
"196","0.071302000","69.148.243.171","38.107.216.37","1","562777","0","49048"
"197","0.071302000","69.148.243.171","38.107.216.37","1","565673","0","49048"
"198","0.071323000","38.107.216.37","69.148.243.171","597529","1","18824","44465"
"199","0.072000000","69.148.243.171","38.107.216.37","1","574361","0","49048"
"200","0.072000000","69.148.243.171","38.107.216.37","1","584497","0","49048"
"201","0.072025000","38.107.216.37","69.148.243.171","616353","1","14480","44465"
"202","0.072505000","69.148.243.171","38.107.216.37","1","590289","0","49048"
"203","0.074008000","69.148.243.171","38.107.216.37","1","597529","0","49048"
"204","0.074016000","38.107.216.37","69.148.243.171","630833","1","20272","44465"
"205","0.074509000","69.148.243.171","38.107.216.37","1","604769","0","49048"
"206","0.074509000","69.148.243.171","38.107.216.37","1","613457","0","49048"
"207","0.074529000","38.107.216.37","69.148.243.171","651105","1","20272","44465"
"208","0.074735000","69.148.243.171","38.107.216.37","1","616353","0","49048"
"209","0.075301000","69.148.243.171","38.107.216.37","1","623593","0","49048"
"210","0.075301000","69.148.243.171","38.107.216.37","1","630833","0","49048"
"211","0.075311000","38.107.216.37","69.148.243.171","671377","1","18824","44465"
"212","0.077270000","69.148.243.171","38.107.216.37","1","638073","0","49048"
"213","0.077270000","69.148.243.171","38.107.216.37","1","648209","0","49048"
"214","0.077270000","69.148.243.171","38.107.216.37","1","651105","0","49048"
"215","0.077292000","38.107.216.37","69.148.243.171","690201","1","5792","44465"
"216","0.077526000","69.148.243.171","38.107.216.37","1","658345","0","49048"
"217","0.077526000","69.148.243.171","38.107.216.37","1","668481","0","49048"
"218","0.077531000","38.107.216.37","69.148.243.171","695993","1","21720","44465"
"219","0.078003000","69.148.243.171","38.107.216.37","1","671377","0","49048"
"220","0.078510000","69.148.243.171","38.107.216.37","1","677169","0","49048"
"221","0.078518000","38.107.216.37","69.148.243.171","717713","1","20272","44465"
"222","0.078800000","69.148.243.171","38.107.216.37","1","685857","0","49048"
"223","0.078800000","69.148.243.171","38.107.216.37","1","690201","0","49048"
"224","0.078807000","38.107.216.37","69.148.243.171","737985","1","14480","44465"
"225","0.080519000","69.148.243.171","38.107.216.37","1","695993","0","49048"
"226","0.080519000","69.148.243.171","38.107.216.37","1","703233","0","49048"
"227","0.080544000","38.107.216.37","69.148.243.171","752465","1","8688","44465"
"228","0.080736000","69.148.243.171","38.107.216.37","1","713369","0","49048"
"229","0.080736000","69.148.243.171","38.107.216.37","1","717713","0","49048"
"230","0.081511000","69.148.243.171","38.107.216.37","1","726401","0","49048"
"231","0.081534000","38.107.216.37","69.148.243.171","761153","1","23168","44465"
"232","0.081997000","69.148.243.171","38.107.216.37","1","737985","0","49048"
"233","0.082498000","69.148.243.171","38.107.216.37","1","746673","0","49048"
"234","0.082498000","69.148.243.171","38.107.216.37","1","752465","0","49048"
"235","0.082503000","38.107.216.37","69.148.243.171","784321","1","23168","44465"
"236","0.083502000","69.148.243.171","38.107.216.37","1","761153","0","49048"
"237","0.083512000","38.107.216.37","69.148.243.171","807489","1","18824","44465"
"238","0.084781000","69.148.243.171","38.107.216.37","1","768393","0","49048"
"239","0.084781000","69.148.243.171","38.107.216.37","1","777081","0","49048"
"240","0.084781000","69.148.243.171","38.107.216.37","1","784321","0","49048"
"241","0.084811000","38.107.216.37","69.148.243.171","826313","1","23168","44465"
"242","0.085516000","69.148.243.171","38.107.216.37","1","793009","0","49048"
"243","0.085516000","69.148.243.171","38.107.216.37","1","806041","0","49048"
"244","0.085541000","38.107.216.37","69.148.243.171","849481","1","24616","44465"
"245","0.086528000","69.148.243.171","38.107.216.37","1","808937","0","49048"
"246","0.086741000","69.148.243.171","38.107.216.37","1","817625","0","49048"
"247","0.086741000","69.148.243.171","38.107.216.37","1","826313","0","49048"
"248","0.086755000","38.107.216.37","69.148.243.171","874097","1","17376","44465"
